,name,university,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,สาขาวิชา,อัตราการได้งานทำ,ค่ามัธยฐานเงินเดือน
186,วศ.บ. วิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วศ.บ. วิศวกรรมสิ่งแวดล้อม,Bachelor of Engineering Program in Environmental Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",,,รับ 10 คน,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,,,
187,วศ.บ. วิศวกรรมเหมืองแร่และวัสดุ (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วศ.บ. วิศวกรรมเหมืองแร่และวัสดุ,Bachelor of Engineering Program in Mining and Materials Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",,,รับ 40 คน,รับ 20 คน,รับ 15 คน,ไม่เปิดรับสมัครในรอบนี้,,,
188,วศ.บ. วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วศ.บ. วิศวกรรมอุตสาหการ,Bachelor of Engineering Program in Industrial Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",,,รับ 30 คน,รับ 30 คน,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,,,
189,วศ.บ. วิศวกรรมและการจัดการนวัตกรรม (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต หาดใหญ่,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วศ.บ. วิศวกรรมและการจัดการนวัตกรรม (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Innovation Engineering and Management (International Program),นานาชาติ,หาดใหญ่,"อัตราค่าเล่าเรียน 59,000.-/ภาคการศึกษา",,,รับ 250 คน,รับ 60 คน,รับ 10 คน,รับ 20 คน,,,
190,วศ.บ. วิศวกรรมและการจัดการอุตสาหกรรมยาง (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต หาดใหญ่,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วศ.บ. วิศวกรรมและการจัดการอุตสาหกรรมยาง (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Rubber Industry Engineering and Management (International Program),นานาชาติ,หาดใหญ่,"36,000 บาทต่อภาคการศึกษา",อัตราการจบการศึกษาร้อยละ 80 ของนักศึกษาปีการศึกษา 2566,,รับ 72 คน,รับ 74 คน,รับ 20 คน,รับ 24 คน,,ร้อยละ 80 ของผู้จบการศึกษา,
191,วศ.บ. วิศวกรรมดิจิทัล (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ภูเก็ต,มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,วศ.บ. วิศวกรรมดิจิทัล (หลักสูตรนานาชาติ),Bachelor of Engineering Programe in Artificial Intelligence and System Engineering,นานาชาติ,ภูเก็ต,"อัตราค่าเล่าเรียน 48,000 บาทต่อภาคการศึกษา (เรียน 8 ภาคการศึกษา) หรือตลอดหลักสูตร 384,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท",,,รับ 333 คน,รับ 150 คน,รับ 80 คน,รับ 135 คน,,,
192,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต ภูเก็ต,มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,Bachelor of Engineering Programe in Digital Engineering (International Program),ภาษาไทย ปกติ,ภูเก็ต,"อัตราค่าเล่าเรียน 38,000 บาทต่อภาคการศึกษา (เรียน 6 ภาคการศึกษา) หรือตลอดหลักสูตร 228,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท",,,รับ 188 คน,รับ 75 คน,รับ 60 คน,รับ 60 คน,,,
193,วศ.บ. การจัดการงานวิศวกรรม (ภาษาไทย ปกติ) วิทยาเขต สุราษฎร์ธานี,มหาวิทยาลัยสงขลานครินทร์ สุราษฎร์ธานี,วศ.บ. การจัดการงานวิศวกรรม,Bachelor of Engineering Engineering Management,ภาษาไทย ปกติ,สุราษฎร์ธานี,144000,,,รับ 692 คน,รับ 103 คน,รับ 20 คน,รับ 50 คน,,,
194,วิทยาศาสตร์และเทคโนโลยีการอาหาร (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตเชียงใหม่,มหาวิทยาลัยแม่โจ้ วิทยาเขตเชียงใหม่,วิทยาศาสตร์และเทคโนโลยีการอาหาร,Food Science and Technology,ภาษาไทย ปกติ,วิทยาเขตเชียงใหม่,,,,รับ 40 คน,รับ 15 คน,รับ 50 คน,ไม่เปิดรับสมัครในรอบนี้,,,
195,เทคโนโลยีหลังการเก็บเกี่ยว (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตเชียงใหม่,มหาวิทยาลัยแม่โจ้ วิทยาเขตเชียงใหม่,เทคโนโลยีหลังการเก็บเกี่ยว,Postharvest Technology,ภาษาไทย ปกติ,วิทยาเขตเชียงใหม่,,,,รับ 20 คน,รับ 10 คน,รับ 100 คน,รับ 11 คน,,,
196,เทคโนโลยียางและพอลิเมอร์ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตเชียงใหม่,มหาวิทยาลัยแม่โจ้ วิทยาเขตเชียงใหม่,เทคโนโลยียางและพอลิเมอร์,Ruber and Polymer Technology,ภาษาไทย ปกติ,วิทยาเขตเชียงใหม่,,,,รับ 20 คน,รับ 10 คน,รับ 100 คน,รับ 21 คน,,,
197,วิศวกรรมเกษตร (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตเชียงใหม่,มหาวิทยาลัยแม่โจ้ วิทยาเขตเชียงใหม่,วิศวกรรมเกษตร,Agricultural Engineering,ภาษาไทย ปกติ,วิทยาเขตเชียงใหม่,,,,รับ 35 คน,รับ 20 คน,รับ 50 คน,ไม่เปิดรับสมัครในรอบนี้,,,
198,วิศวกรรมอาหาร (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตเชียงใหม่,มหาวิทยาลัยแม่โจ้ วิทยาเขตเชียงใหม่,วิศวกรรมอาหาร,Food Engineering,ภาษาไทย ปกติ,วิทยาเขตเชียงใหม่,,,,รับ 30 คน,รับ 15 คน,รับ 50 คน,ไม่เปิดรับสมัครในรอบนี้,,,
199,วิศวกรรมพลังงาน (วิชาเอกวิศวกรรมพลังงานทดแทน) (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตเชียงใหม่,มหาวิทยาลัยแม่โจ้ วิทยาเขตเชียงใหม่,วิศวกรรมพลังงาน (วิชาเอกวิศวกรรมพลังงานทดแทน),Energy Engineering,ภาษาไทย ปกติ,วิทยาเขตเชียงใหม่,,,,รับ 25 คน,รับ 10 คน,รับ 100 คน,ไม่เปิดรับสมัครในรอบนี้,,,
200,วิศวกรรมพลังงาน (วิชาเอกวิศวกรรมนวัตกรรมการจัดการพลังงาน) (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตเชียงใหม่,มหาวิทยาลัยแม่โจ้ วิทยาเขตเชียงใหม่,วิศวกรรมพลังงาน (วิชาเอกวิศวกรรมนวัตกรรมการจัดการพลังงาน),Energy Engineering,ภาษาไทย ปกติ,วิทยาเขตเชียงใหม่,,,,รับ 25 คน,รับ 10 คน,รับ 100 คน,รับ 11 คน,,,
201,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์(หลักสูตรนานาชาติ)-วศ.บ.4ปี,ComputerEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,,รับ 27 คน,รับ 11 คน,รับ 10 คน,ไม่เปิดรับสมัครในรอบนี้,,,
202,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์-วศ.บ.4ปี,ComputerEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 52 คน,รับ 24 คน,รับ 10 คน,ไม่เปิดรับสมัครในรอบนี้,,,
203,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์วศ.บ.4ปี(พื้นที่การศึกษาราชบุรี) (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์วศ.บ.4ปี(พื้นที่การศึกษาราชบุรี),ComputerEngineering-B.Eng.(RajaburiEducationalRegion),ภาษาไทย ปกติ,บางมด,,,,รับ 21 คน,รับ 10 คน,ไม่เปิดรับสมัครในรอบนี้,,,,
204,วศ.บ.สาขาวิศวกรรมเคมี-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมเคมี-วศ.บ.4ปี,ChemicalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 54 คน,รับ 24 คน,รับ 30 คน,รับ 3 คน,,,
205,วศ.บ.สาขาวิศวกรรมเคมี(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมเคมี(หลักสูตรนานาชาติ)-วศ.บ.4ปี,ChemicalEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,,รับ 28 คน,รับ 32 คน,รับ 35 คน,,,,
206,วศ.บ.สาขาวิศวกรรมเครื่องกล-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมเครื่องกล-วศ.บ.4ปี,MechanicalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 57 คน,รับ 32 คน,รับ 10 คน,ไม่เปิดรับสมัครในรอบนี้,,,
207,วศ.บ.สาขาวิศวกรรมเครื่องกลวศ.บ.4ปี(พื้นที่การศึกษาราชบุรี) (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมเครื่องกลวศ.บ.4ปี(พื้นที่การศึกษาราชบุรี),MechanicalEngineering-B.Eng.(RajaburiEducationalRegion),ภาษาไทย ปกติ,บางมด,,,,รับ 20 คน,รับ 11 คน,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,,,
208,วศ.บ.สาขาวิศวกรรมยานยนต์-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมยานยนต์-วศ.บ.4ปี,AutomotiveEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 53 คน,รับ 41 คน,รับ 35 คน,ไม่เปิดรับสมัครในรอบนี้,,,
209,วศ.บ.สาขาวิศวกรรมไฟฟ้า-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมไฟฟ้า-วศ.บ.4ปี,ElectricalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 53 คน,รับ 36 คน,รับ 29 คน,ไม่เปิดรับสมัครในรอบนี้,,,
210,วศ.บ.สาขาวิศวกรรมไฟฟ้า(ระบบไฟฟ้าอิเล็กทรอนิกส์กำลังและพลังงาน)-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมไฟฟ้า(ระบบไฟฟ้าอิเล็กทรอนิกส์กำลังและพลังงาน)-วศ.บ.4ปี,ElectricalEngineering(PowerSystemPowerElectronicsandEnergy)-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 27 คน,รับ 22 คน,รับ 10 คน,,,,
211,วศ.บ.สาขาวิศวกรรมโยธา(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมโยธา(หลักสูตรนานาชาติ)-วศ.บ.4ปี,CivilEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,,รับ 66 คน,รับ 42 คน,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,,,
212,วศ.บ.สาขาวิศวกรรมโยธา-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมโยธา-วศ.บ.4ปี,CivilEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 67 คน,รับ 13 คน,รับ 5 คน,,,,
213,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี,AutomationEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,,รับ 32 คน,รับ 27 คน,รับ 25 คน,รับ 19 คน,,,
214,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี-KOSEN (นานาชาติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี-KOSEN,AutomationEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,,รับ 50 คน,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,,,
215,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด-วศ.บ.4ปี,ControlSystemandInstrumentationEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 30 คน,รับ 19 คน,รับ 8 คน,ไม่เปิดรับสมัครในรอบนี้,,,
216,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด(สหกิจศึกษา)-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด(สหกิจศึกษา)-วศ.บ.4ปี,ControlSystemsandInstrumentationEngineering(Co-operativeEducation)-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 30 คน,รับ 35 คน,รับ 35 คน,รับ 26 คน,,,
217,วศ.บ.สาขาวิศวกรรมวัสดุ-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมวัสดุ-วศ.บ.4ปี,MaterialsEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 29 คน,รับ 43 คน,รับ 30 คน,รับ 5 คน,,,
218,วศ.บ.สาขาวิศวกรรมเครื่องมือ-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมเครื่องมือ-วศ.บ.4ปี,ToolEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 34 คน,รับ 54 คน,รับ 45 คน,,,,
219,วศ.บ. วิศวกรรมการผลิตชิ้นส่วนยานยนต์และอากาศยานสมัยใหม่ - วศ.บ. 4 ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ. วิศวกรรมการผลิตชิ้นส่วนยานยนต์และอากาศยานสมัยใหม่ - วศ.บ. 4 ปี,Modern Automotive and Aerospace Parts Manufacturing Engineering - B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 27 คน,รับ 21 คน,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,,,
220,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม(หลักสูตรนานาชาติ)-วศ.บ.4ปี,EnviromentalEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,,,,รับ 28 คน,รับ 38 คน,รับ 15 คน,รับ 26 คน,,,
221,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม-วศ.บ.4ปี,EnvironmentalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 29 คน,รับ 20 คน,รับ 2 คน,ไม่เปิดรับสมัครในรอบนี้,,,
222,วศ.บ.วิศวกรรมอิเล็กทรอนิกส์และสารสนเทศสื่อสาร(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.วิศวกรรมอิเล็กทรอนิกส์และสารสนเทศสื่อสาร(หลักสูตรนานาชาติ)-วศ.บ.4ปี,Electronic and Infocommunication Engineering (International Program) - B.Eng.,นานาชาติ,บางมด,,,,รับ 28 คน,รับ 63 คน,รับ 30 คน,,,,
223,วศ.บ.สาขาวิศวกรรมไฟฟ้าสื่อสารและอิเล็กทรอนิกส์-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมไฟฟ้าสื่อสารและอิเล็กทรอนิกส์-วศ.บ.4ปี,ElectricalCommunicationandElectronicEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 61 คน,รับ 28 คน,รับ 4 คน,ไม่เปิดรับสมัครในรอบนี้,,,
224,วศ.บ.สาขาวิศวกรรมอุตสาหการ-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมอุตสาหการ-วศ.บ.4ปี,ProductionEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 57 คน,รับ 45 คน,รับ 13 คน,,,,
225,วศ.บ.สาขาวิศวกรรมเมคคาทรอนิกส์-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมเมคคาทรอนิกส์-วศ.บ.4ปี,MechatronicEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 29 คน,รับ 17 คน,รับ 4 คน,ไม่เปิดรับสมัครในรอบนี้,,,
226,ค.อ.บ.สาขาวิศวกรรมเครื่องกล-ค.อ.บ.5ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,ค.อ.บ.สาขาวิศวกรรมเครื่องกล-ค.อ.บ.5ปี,MechanicalEngineering-B.S.Ind.Ed.,ภาษาไทย ปกติ,บางมด,,,,รับ 29 คน,รับ 19 คน,รับ 15 คน,รับ 8 คน,,,
227,ค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกอิเล็กทรอนิกส์-ค.อ.บ.5ปี สาขาวิชาค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกอิเล็กทรอนิกส์-ค.อ.บ.5ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,ค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกอิเล็กทรอนิกส์-ค.อ.บ.5ปี,ElectricalEngineering(ElectronicsEngineering)-B.S.Ind.Ed.,ภาษาไทย ปกติ,บางมด,,,,รับ 23 คน,รับ 18 คน,รับ 20 คน,,ค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกอิเล็กทรอนิกส์-ค.อ.บ.5ปี,,
228,ค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกไฟฟ้ากำลัง-ค.อ.บ.5ปี สาขาวิชาค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกไฟฟ้ากำลัง-ค.อ.บ.5ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,ค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกไฟฟ้ากำลัง-ค.อ.บ.5ปี,ElectricalEngineering(ElectricalPowerEngineering)-B.S.Ind.Ed.,ภาษาไทย ปกติ,บางมด,,,,รับ 23 คน,รับ 18 คน,รับ 1 คน,,ค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกไฟฟ้ากำลัง-ค.อ.บ.5ปี,,
229,ค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกคอมพิวเตอร์-ค.อ.บ.5ปี สาขาวิชาค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกคอมพิวเตอร์-ค.อ.บ.5ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,ค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกคอมพิวเตอร์-ค.อ.บ.5ปี,ElectricalEngineering(ComputerEngineering)-B.S.Ind.Ed.,ภาษาไทย ปกติ,บางมด,,,,รับ 23 คน,รับ 18 คน,รับ 10 คน,รับ 10 คน,ค.อ.บ.สาขาวิศวกรรมไฟฟ้า-วิชาเอกคอมพิวเตอร์-ค.อ.บ.5ปี,,
230,ค.อ.บ.สาขาวิศวกรรมโยธา-ค.อ.บ.5ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,ค.อ.บ.สาขาวิศวกรรมโยธา-ค.อ.บ.5ปี,CivilEngineering-B.S.Ind.Ed.,ภาษาไทย ปกติ,บางมด,,,,รับ 27 คน,รับ 21 คน,รับ 12 คน,รับ 6 คน,,,
231,ค.อ.บ.สาขาวิศวกรรมอุตสาหการ-ค.อ.บ.5ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,ค.อ.บ.สาขาวิศวกรรมอุตสาหการ-ค.อ.บ.5ปี,ProductionEngineering-B.S.Ind.Ed.,ภาษาไทย ปกติ,บางมด,,,,รับ 31 คน,รับ 19 คน,รับ 24 คน,,,,
232,วศ.บ.สาขาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.สาขาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ,RoboticsandAutomationEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,,,,รับ 73 คน,รับ 38 คน,รับ 10 คน,รับ 5 คน,,,
233,วศ.บ.4 ปี - วิศวกรรมระบบอัจฉริยะ- วศ.บ.4 ปี(พื้นที่การศึกษาราชบุรี) (ภาษาไทย ปกติ) วิทยาเขต บางมด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วศ.บ.4 ปี - วิศวกรรมระบบอัจฉริยะ- วศ.บ.4 ปี(พื้นที่การศึกษาราชบุรี),Engineering - B.Eng. (Rajaburi Educational Region),ภาษาไทย ปกติ,บางมด,,,,รับ 40 คน,รับ 121 คน,รับ 40 คน,,,,
234,วศ.บ.วิศวกรรมการผลิต (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ กรุงเทพฯ,วศ.บ.วิศวกรรมการผลิต,Bachelor of Engineering Program in Production Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,,รับ 67 คน,รับ 64 คน,รับ 30 คน,รับ 21 คน,,ร้อยละ 71.93 (ภาพรวมคณะ รุ่นปีการศึกษา 2564),"20,000 - 25,000 บาท (ภาพรวมคณะ รุ่นปีการศึกษา 2564)"
235,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต กรุงเทพฯ,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ กรุงเทพฯ,วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",,,รับ 30 คน,รับ 23 คน,รับ 5 คน,ไม่เปิดรับสมัครในรอบนี้,,ร้อยละ 71.93 (ภาพรวมคณะ รุ่นปีการศึกษา 2564),"20,000 - 25,000 บาท (ภาพรวมคณะ รุ่นปีการศึกษา 2564)"
