จังหวัด,ชื่อสถานศึกษา,LATITUDE,LONGITUDE
กรุงเทพมหานคร,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วิทยาเขตบพิตรพิมุข จักรวรรดิ,13.7456439,100.498767
กรุงเทพมหานคร,สถาบันวิทยาลัยชุมชน,13.76593,100.50794
กรุงเทพมหานคร,โรงเรียนนายเรืออากาศนวมินทกษัตริยาธิราช,13.9204262,100.6256441
กรุงเทพมหานคร,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,13.76924,100.530519
กรุงเทพมหานคร,วิทยาลัยพยาบาลกองทัพบก,13.7688793,100.531696
กรุงเทพมหานคร,วิทยาลัยพยาบาลกองทัพเรือ,13.709208,100.485994
กรุงเทพมหานคร,วิทยาลัยพยาบาลทหารอากาศ,13.303009,100.616171
กรุงเทพมหานคร,วิทยาลัยพยาบาลตำรวจ,13.7429581,100.535912
กรุงเทพมหานคร,สถาบันพระบรมราชชนก,13.8502573,100.5260392
กรุงเทพมหานคร,วิทยาลัยพยาบาลบรมราชชนนี กรุงเทพ,13.762593,100.536317
กรุงเทพมหานคร,วิทยาลัยพยาบาลบรมราชชนนี นพรัตน์วชิระ,13.8192011,100.6877969
กรุงเทพมหานคร,สถาบันการพยาบาลศรีสวรินทิราสภากาชาดไทย,13.739802,100.54678
กรุงเทพมหานคร,สถาบันบัณฑิตพัฒนศิลป์,13.801953,100.302248
กรุงเทพมหานคร,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตกรุงเทพ,14.073365,100.886767
กรุงเทพมหานคร,สถาบันการบินพลเรือน,13.800861,100.553343
กรุงเทพมหานคร,มหาวิทยาลัยกรุงเทพสุวรรณภูมิ,13.723251,100.802473
กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีสยาม,13.7378256,100.469076
กรุงเทพมหานคร,สถาบันเทคโนโลยีไทย-ญี่ปุ่น,13.737964,100.628318
กรุงเทพมหานคร,สถาบันอาศรมศิลป์,13.659005,100.468369
กรุงเทพมหานคร,สถาบันบัณฑิตศึกษาจุฬาภรณ์,13.882301,100.578902
กรุงเทพมหานคร,สถาบันการจัดการปัญญาภิวัฒน์,13.901726,100.53299
กรุงเทพมหานคร,สถาบันดนตรีกัลยาณิวัฒนา,13.768361,100.49398
กรุงเทพมหานคร,มหาวิทยาลัยนวมินทราธิราช,13.781615,100.50629
กรุงเทพมหานคร,สถาบันเทคโนโลยีจิตรลดา,13.7671833,100.515072
กรุงเทพมหานคร,โรงเรียนเสนาธิการทหารบก,13.7827572,100.5249509
กรุงเทพมหานคร,วิทยาลัยนานาชาติราฟเฟิลส์,13.661928,100.6641467
กรุงเทพมหานคร,ราชวิทยาลัยจุฬาภรณ์,13.8837,100.5699
เชียงใหม่,มหาวิทยาลัยเชียงใหม่,18.804651,98.955013
เชียงใหม่,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดเชียงใหม่,18.811585,98.9701
เชียงใหม่,มหาวิทยาลัยแม่โจ้,18.89624,99.00946
เชียงใหม่,มหาวิทยาลัยพายัพ,18.795535,99.0314
เชียงใหม่,มหาวิทยาลัยฟาร์อีสเทอร์น,18.771245,98.975361
เชียงใหม่,มหาวิทยาลัยนอร์ท-เชียงใหม่,18.656431,98.908186
เชียงใหม่,มหาวิทยาลัยราชภัฏเชียงใหม่,18.80694,98.98625
เชียงใหม่,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตเชียงใหม่, -, -
เชียงใหม่,มหาวิทยาลัยมหามกุฏราชวิทยาลัย วิทยาเขตล้านนา,18.787342,98.987345
เชียงใหม่,มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,18.810396,98.952707
เชียงใหม่,มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา วิทยาเขตภาคพายัพจังหวัดเชียงใหม่,18.80968,98.9506823
เชียงใหม่,วิทยาลัยพยาบาลบรมราชชนนี เชียงใหม่,18.8510512,98.9607732
เชียงใหม่,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตเชียงใหม่,18.798866,98.98875
เชียงราย,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดเชียงราย,19.926291,99.86899
เชียงราย,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตเชียงราย, -, -
เชียงราย,มหาวิทยาลัยแม่ฟ้าหลวง,20.04489,99.878202
เชียงราย,วิทยาลัยแสงธรรม วิทยาเขตเซเวียร์,20.213489,100.060598
เชียงราย,มหาวิทยาลัยราชภัฏเชียงราย,19.980603,99.851223
เชียงราย,วิทยาลัยเชียงราย,19.826929,99.776987
เชียงราย,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์เชียงราย,19.9299095,99.8166052
เชียงราย,มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา วิทยาเขตเชียงราย,19.684952,99.734364
เพชรบุรี,มหาวิทยาลัยศิลปากร วิทยาเขตสารสนเทศเพชรบุรี,12.647301,99.863264
เพชรบุรี,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. เพชรบุรี), -, -
เพชรบุรี,มหาวิทยาลัยนานาชาติแสตมฟอร์ด,12.6392678,99.9179791
เพชรบุรี,มหาวิทยาลัยราชภัฏเพชรบุรี,13.070441,99.977606
เพชรบุรี,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์เพชรบุรี,13.1015562,99.9668248
เพชรบุรี,วิทยาลัยพยาบาลพระจอมเกล้า เพชรบุรี,13.1212417,99.9370343
เพชรบูรณ์,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดเพชรบูรณ์,16.801418,101.21181
เพชรบูรณ์,มหาวิทยาลัยราชภัฏเพชรบูรณ์,16.450787,101.150992
เพชรบูรณ์,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์พ่อขุนผาเมือง เพชรบูรณ์,16.7839961,101.2418863
เพชรบูรณ์,มหาวิทยาลัยเฉลิมกาญจนา เพชรบูรณ์, -, -
เพชรบูรณ์,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตเพชรบูรณ์,16.450643,101.154843
เลย,มหาวิทยาลัยราชภัฏเลย,17.538654,101.721488
เลย,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์เลย,17.6162671,101.727226
แพร่,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดแพร่,18.176511,100.10758
แพร่,มหาวิทยาลัยแม่โจ้ - แพร่ ฉลิมพระเกียรติ,18.36062,100.3155
แพร่,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตแพร่,18.2468894,100.2224383
แพร่,วิทยาลัยชุมชนแพร่,18.189368,100.20011
แพร่,วิทยาลัยพยาบาลบรมราชชนนี แพร่,18.1167422,100.1493602
แม่ฮ่องสอน,มหาวิทยาลัยราชภัฏเชียงใหม่ วิทยาเขตแม่ฮ่องสอน, -, -
แม่ฮ่องสอน,วิทยาลัยชุมชนแม่ฮ่องสอน,19.305172,97.973538
กระบี่,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตกระบี่,8.11,98.918425
กาญจนบุรี,มหาวิทยาลัยมหิดล วิทยาเขตกาญจนบุรี,14.1295061,99.1574478
กาญจนบุรี,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดกาญจนบุรี,14.311899,99.51681
